client_code,person_code,job_number,date,actor_role,hours,job_type_original,source_file,idempotency_key,warning
NORSPAN-MB,RKG,Q260209,2026-04-02,DESIGNER,0.5,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,3b86a2532d0ff59d608e76d33d0d6024,
NORSPAN-MB,RKG,Q260211,2026-04-02,DESIGNER,0.5,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,c93699f26dad43ad6b745b3e66637469,
NORSPAN-MB,RKG,Q260210,2026-04-07,DESIGNER,0.75,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,1436db25b0c02000d97d632bb6d33fdc,
NORSPAN-MB,RKG,Q260212,2026-04-07,DESIGNER,0.75,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,c2f69e7b1dc1a7f7f769d66297ebfbb7,
NORSPAN-MB,RKG,Q260216,2026-04-08,DESIGNER,4.0,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,892b430d273fe31ebb733fe3e33622d7,
NORSPAN-MB,RKG,Q260200,2026-04-08,DESIGNER,0.5,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,ff292808ced690726ad4ad97fb6366c5,
NORSPAN-MB,RKG,Q260202,2026-04-09,DESIGNER,2.0,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,d8051747902551ca26f1ece550b988ab,
NORSPAN-MB,RKG,Q260210A,2026-04-10,DESIGNER,1.0,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,b96a6d79650b510abbe96ae4232564de,
NORSPAN-MB,RKG,Q260202G,2026-04-10,DESIGNER,0.5,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,a4de04a37e706fd399501b001d5d65f7,
NORSPAN-MB,RKG,Q260230,2026-04-10,DESIGNER,0.25,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,1b11529e7e10f350d296918396059568,
NORSPAN-MB,RKG,Q260234,2026-04-13,DESIGNER,0.5,Design-Quote,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,e37edfdf84d7553d7ce997aafd5dfe8f,
NORSPAN-MB,RKG,Q260210,2026-04-13,QC,0.25,Quality Check,Invoice_From_April_1st-15th_Norspan_Alpine.pdf,bda34f6dfdae369952ed771db56b5bdc,
