client_code,person_code,job_number,date,actor_role,hours,job_type_original,source_file,idempotency_key,warning
NORSPAN-MB,RKG,Q251132,2026-01-05,DESIGNER,0.5,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,9311f65677b616d48d07d4906c4a45f8,
NORSPAN-MB,RKG,Q251109,2026-01-05,DESIGNER,2.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,51e40df98d5f977e9fe7a1141d769849,
NORSPAN-MB,RKG,Q260000,2026-01-06,DESIGNER,6.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,a7c85c51d2407acf8bcbf2e86748b75c,
NORSPAN-MB,RKG,Q251144,2026-01-07,DESIGNER,6.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,f07e94ff29d1bf40517f0c8744e4b770,
NORSPAN-MB,RKG,Q260001,2026-01-08,DESIGNER,5.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,6ec6f8df2d5c2ebeafe7d18e19e0f09e,
NORSPAN-MB,RKG,Q251145G,2026-01-09,DESIGNER,0.5,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,85c6fa6d435ef6aa707138261f920d48,
NORSPAN-MB,RKG,Q260015,2026-01-09,DESIGNER,6.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,c5b15fcd6cb8da6d978fa7e23e21eb03,
NORSPAN-MB,RKG,Q260018,2026-01-09,DESIGNER,1.5,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,a0e0c2e834e3aec2a23b5c7def32c753,
NORSPAN-MB,RKG,Q251145,2026-01-10,DESIGNER,4.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,e79c307c57983f8e1741fb2d1315154c,
NORSPAN-MB,RKG,Q260021,2026-01-15,DESIGNER,1.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,25f4fa6a4b49be9be6344851ec174985,
NORSPAN-MB,BCH,Q251129,2026-01-02,QC,1.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,9baa957d471c4f97b653ed97f56fb434,
NORSPAN-MB,BCH,Q251130,2026-01-02,QC,1.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,cade2f9184d7a2f1cfecc24f2d2ca49b,
NORSPAN-MB,BCH,Q251131,2026-01-03,QC,0.75,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,21d49a3bd857d4b331ddf21090095925,
NORSPAN-MB,BCH,Q251143,2026-01-03,QC,0.75,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,4ea1e57f07d1302a6efda75b6a6b68c7,
NORSPAN-MB,BCH,Q251149,2026-01-03,QC,1.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,774db6369a72b2f14e05a86841a284c7,
NORSPAN-MB,BCH,Q251109,2026-01-05,QC,1.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,c57590df940ba9081498bd9f34819392,
NORSPAN-MB,BCH,Q251150,2026-01-05,DESIGNER,4.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,e7122d48367d620ffd66aae1b3590cfe,
NORSPAN-MB,BCH,Q251150,2026-01-06,DESIGNER,3.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,a2a307fb3c2df7285c7d8cd6ae2a734f,
NORSPAN-MB,BCH,Q260000,2026-01-06,QC,1.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,01e67cd7f39594a4a1e61799e8a7ff76,
NORSPAN-MB,BCH,Q251144,2026-01-07,QC,1.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,36853184710328ad6b51d75277a34045,
NORSPAN-MB,BCH,Q260001,2026-01-08,QC,1.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,af5075dcbd3071de6d233a3c23eb9663,
NORSPAN-MB,BCH,Q251037,2026-01-08,DESIGNER,3.5,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,15ab7f66d155fd81219f07be4021219e,
NORSPAN-MB,BCH,Q260010,2026-01-09,DESIGNER,6.5,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,f733f5318fb89bfb810dd04588c7cb37,
NORSPAN-MB,BCH,Q251145G,2026-01-10,QC,0.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,7e77356de521557281e93fc47b27975e,
NORSPAN-MB,BCH,Q251145G,2026-01-10,DESIGNER,1.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,66ad2a346faa5b083e4d3628375f8354,
NORSPAN-MB,BCH,Q251145,2026-01-13,DESIGNER,4.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,cd2578080f4b4ab6fe25cf8d61f1df97,
NORSPAN-MB,BCH,Q260015,2026-01-14,DESIGNER,3.0,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,fb2b48f4b5f54e64854f1f84fee4b8ac,
NORSPAN-MB,BCH,Q260034,2026-01-15,DESIGNER,0.5,Design-Quote,Invoice_From_Jan_1st-15th_Norspan.pdf,8c70c66ab3352cf777a394b29591f93d,
NORSPAN-MB,BCH,Q260021,2026-01-15,QC,0.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,4f7b031275da4b3454b32f7a04c1edae,
NORSPAN-MB,BCH,Q260035,2026-01-15,QC,0.5,Quality Check,Invoice_From_Jan_1st-15th_Norspan.pdf,290c4c4e35347ebebdf2fc5cf34e4b84,
