client_code,person_code,job_number,date,actor_role,hours,job_type_original,source_file,idempotency_key,warning
NORSPAN-MB,BCH,Q260134,2026-03-16,QC,1.75,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,2858416d1939b0f582feac2a7758fa9b,
NORSPAN-MB,RKG,Q260156,2026-03-18,QC,0.25,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,95281af27be03937170206db69c8916e,
NORSPAN-MB,VKV,Q260109,2026-03-18,QC,0.5,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,d97a0b6cfe7e83e27c45720fd799b9fc,
NORSPAN-MB,BCH,Q260158,2026-03-18,QC,0.5,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,a24b2953178f73310dca73cb8989af4b,
NORSPAN-MB,BCH,Q260157,2026-03-18,QC,1.25,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,eae13498b6fef602bd60972f5e6ee261,
NORSPAN-MB,BCH,Q260162,2026-03-18,QC,0.5,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,da11009ed61c670d0bcdbffa47298fde,
NORSPAN-MB,BCH,Q260163,2026-03-18,QC,0.25,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,b790b3151b0dc0aae30eece9853700d9,
NORSPAN-MB,BCH,Q260177,2026-03-20,QC,1.0,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,dfc414b5cb7669d5afce10a0a28529d1,
NORSPAN-MB,BCH,Q260117,2026-03-20,QC,0.25,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,db3d2cad1623f8175787d58d1a9caf3f,
NORSPAN-MB,BCH,Q260161,2026-03-21,QC,0.5,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,5a801d39e39a3c74b5b711c5bb96d5b9,
NORSPAN-MB,BCH,Q260166,2026-03-21,QC,0.5,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,6fefadc64e23da6e153d32d9854e5b4b,
NORSPAN-MB,BCH,Q260168,2026-03-21,QC,0.25,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,95eb4198605bb5581cf2a2b28c465897,
NORSPAN-MB,BCH,Q260165,2026-03-21,QC,0.5,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,173f13c90d0960ef683d1d0ffeab771d,
NORSPAN-MB,BCH,Q260178,2026-03-21,QC,1.0,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,f5df24c71fa98cc71b3642de53a0ca3e,
NORSPAN-MB,BCH,Q260183,2026-03-24,QC,1.25,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,2f30b2899fe8bfb5e79fec0b9ab912cd,
NORSPAN-MB,BCH,Q260179,2026-03-25,QC,0.75,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,01c9222cff7c8c7cb89b1b284fe20d55,
NORSPAN-MB,BCH,Q260180,2026-03-28,QC,0.75,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,68abc8097e469739d8580781466f7c99,
NORSPAN-MB,BCH,Q260182,2026-03-28,QC,0.75,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,1c5131c52b30ed05fac08243a138a57a,
NORSPAN-MB,BCH,Q260180,2026-03-30,QC,0.25,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,dac2fb92ef200dd0df98f36c2313c012,
NORSPAN-MB,BCH,Q260186,2026-03-30,QC,1.0,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,b3bedc0e784fd7d7aa6d4a4dcef50a0e,
NORSPAN-MB,BCH,Q260187,2026-03-30,QC,0.5,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,c350cd2a0f09c4acd5ac4d5e6f4bdbd2,
NORSPAN-MB,BCH,Q260190,2026-03-30,QC,0.5,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,d0d9613ee7f32964ac595787e2d90188,
NORSPAN-MB,BCH,Q260192,2026-03-30,QC,1.0,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,be2937445d8493c2196659c6cf79d838,
NORSPAN-MB,BCH,Q260200,2026-03-31,DESIGNER,4.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,0f511c7cccf9e71d8cc4b3ce1f994ad1,
NORSPAN-MB,BCH,Q260206,2026-03-31,QC,1.0,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,c84b4906bbe70a48695a8cca83dced65,
NORSPAN-MB,VKV,Q260158,2026-03-17,DESIGNER,2.5,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,7954433658907f08a6c908011216dc2c,
NORSPAN-MB,VKV,Q260160,2026-03-17,DESIGNER,0.5,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,67ee3d3ef4c7dc7bad53ac474399df4f,
