client_code,person_code,job_number,date,actor_role,hours,job_type_original,source_file,idempotency_key,warning
NORSPAN-MB,BCH,Q260113,2026-03-02,QC,1.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,37fbd9f26e2c1d4b7e11651f6053abe0,
NORSPAN-MB,RKG,Q260099,2026-03-02,QC,1.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,9f74ef7616dc388087937e4b6fb0e71e,
NORSPAN-MB,VKV,Q260125,2026-03-04,QC,0.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,b5208ac993f8b9a4ba4cdc47f93f7099,
NORSPAN-MB,BCH,Q260126,2026-03-04,QC,0.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,eaef7bec3741f64038f59ac2c5cd1eb9,
NORSPAN-MB,BCH,Q260103,2026-03-04,QC,1.25,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,7ad3fd5b0e7cfb8fed64b96d313bf9ba,
NORSPAN-MB,BCH,Q260128,2026-03-06,QC,0.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,7a0922f50798176ca6acd2f4e4eeaa90,
NORSPAN-MB,BCH,Q260127,2026-03-06,QC,0.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,fedd425bab90f9b9e2b1371d497a88f0,
NORSPAN-MB,BCH,Q260124,2026-03-06,QC,1.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,363f5814e4d0fa7af82e0f82033094b2,
NORSPAN-MB,BCH,Q260127M,2026-03-06,QC,0.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,26d0565ce25d8cbc3b71176b48cd2fbd,
NORSPAN-MB,BCH,Q260132,2026-03-06,QC,0.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,c0a5f474d6896d0615a9738c5c268d3a,
NORSPAN-MB,VKV,Q260125,2026-03-02,DESIGNER,3.5,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,8c4ef1ee8361564ecb6af8d35e7825cb,
NORSPAN-MB,VKV,Q260126,2026-03-03,DESIGNER,2.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,e26630544389655dd1e1d7705e733dc8,
NORSPAN-MB,VKV,Q260128,2026-03-04,DESIGNER,4.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,713020fd3f8c0556ae81d7f9e6acfc49,
